,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
543,4,4,2,402.0,-17.744967,-63.164261,490000.0,Barrio Santa Isabel.,Distrito 5,402.0
545,6,5,4,300.0,-17.836784,-63.250477,100000.0,Desconocido,Desconocido,200.0
546,3,4,3,295.0,-17.734774,-63.165241,285000.0,Barrio Santa Isabel.,Distrito 5,295.0
549,3,4,4,285.0,-17.762564,-63.233948,240000.0,Desconocido,Desconocido,285.0
550,7,6,0,360.0,-17.777576,-63.188751,220000.0,Barrio Panamericano,Distrito 11,272.0
551,3,5,2,230.0,-17.687416,-63.140617,138500.0,Desconocido,Desconocido,230.0
552,5,3,2,245.0,-17.792418,-63.151604,168000.0,Barrio Los Penocos,Distrito Municipal 3,432.0
553,4,3,3,274.0,-17.783236,-63.169205,144500.0,Barrio Lindo,Distrito 11,274.0
554,5,7,4,470.0,-17.733541,-63.192627,390000.0,Desconocido,Desconocido,470.0
555,4,4,4,220.0,-17.831495,-63.230705,128000.0,Barrio los Olivos,Distrito 10,420.0
560,4,4,3,276.0,-17.739143,-63.182106,245000.0,Barrio Santa Isabel.,Distrito 5,276.0
563,4,5,3,276.0,-17.746174,-63.164478,275000.0,Barrio Santa Isabel.,Distrito 5,276.0
